,publisher,genres,title,id,developer,Action,Adventure,Animation &amp; Modeling,Audio Production,Casual,Design &amp; Illustration,Early Access,Education,Free to Play,Indie,Massively Multiplayer,Photo Editing,RPG,Racing,Simulation,Software Training,Sports,Strategy,Utilities,Video Production,Web Publishing,year
88359,Wonderbox Games,"Casual, Strategy, Early Access",Chronicles of Vinland,753110.0,Wonderbox Games,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2017
88360,Wonderbox Games,"Action, Indie",Orbitality,753100.0,Wonderbox Games,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2017
88362,Mad Unicorn Games,"Action, Adventure, Casual",Atomic Adam: Episode 1,764280.0,Mad Unicorn Games,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017
88365,Majesco,Action,Advent Rising,3800.0,GlyphX Games,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2005
88366,Introversion Software,"Indie, Strategy",DEFCON,1520.0,Introversion Software,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2006
88367,Blazing Griffin Ltd.,"Action, Indie, RPG",The Ship: Single Player,2420.0,Outerlight Ltd.,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2006
88368,Valve,"Indie, Simulation",Garry's Mod,4000.0,Facepunch Studios,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2006
88369,SimBin,Racing,RACE - The WTCC Game,4230.0,SimBin,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2006
88370,Unknown Worlds Entertainment,"Casual, Indie",Zen of Sudoku,4900.0,Unknown Worlds Entertainment,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2006
88371,"CINEMAX, s.r.o.","Casual, Indie",Gumboy - Crazy Adventures™,2520.0,"CINEMAX, s.r.o.",0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2006
88372,Strategy First,Strategy,Ghost Master®,6200.0,Sick Puppies,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2003
88373,Strategy First,Strategy,Vegas: Make It Big™,6210.0,Deepred,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2006
88374,Funcom,"Adventure, RPG",Dreamfall: The Longest Journey,6300.0,Funcom,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2006
88375,Strategy First,Racing,FlatOut 2™,2990.0,Bugbear Entertainment,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2006
88376,Strategy First,Racing,FlatOut,6220.0,Bugbear Entertainment,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2005
88377,Capcom,"Action, Adventure",Lost Planet™: Extreme Condition,6510.0,"CAPCOM Co., Ltd.",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2007
88378,2K Games,Strategy,CivCity: Rome,3980.0,"FireFly Studios,Firaxis Games",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2006
88379,Arkane Studios,RPG,Arx Fatalis,1700.0,Arkane Studios,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2002
88380,Funcom,"Action, Adventure, RPG",The Longest Journey,6310.0,Funcom,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2000
88381,2K Games,Strategy,Civilization IV®: Warlords,3990.0,Firaxis Games,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2006
88382,2K Games,Strategy,Railroad Tycoon 3,7610.0,PopTop,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2003
88383,"2K Games, Feral Interactive (Mac)",Strategy,Sid Meier's Railroads!,7600.0,"Firaxis Games,Feral Interactive (Mac)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2006
88385,2K Games,Strategy,Railroad Tycoon II Platinum,7620.0,PopTop,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1998
88387,2K Games,Strategy,X-COM: Terror From the Deep,7650.0,"MicroProse Software, Inc",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1995
88388,"Square Enix, Feral Interactive (Mac)","Action, Adventure",Tomb Raider: Anniversary,8000.0,"Crystal Dynamics,Feral Interactive (Mac)",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2007
88389,Capcom,Action,Devil May Cry® 3 Special Edition,6550.0,"CAPCOM Co., Ltd.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2006
88390,Telltale Games,"Action, Adventure",Sam &amp; Max 101: Culture Shock,8200.0,Telltale Games,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2006
88391,id Software,Action,Final DOOM,2290.0,id Software,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1996
88393,Telltale Games,"Action, Adventure",Sam &amp; Max 102: Situation: Comedy,8210.0,Telltale Games,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2006
88394,id Software,Action,Ultimate Doom,2280.0,id Software,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1995
88395,id Software,Action,Master Levels for Doom II,9160.0,id Software,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1995
88396,id Software,Action,DOOM II,2300.0,id Software,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1994
88397,id Software,Action,Wolfenstein 3D,2270.0,id Software,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1994
88398,id Software,Action,Return to Castle Wolfenstein,9010.0,Gray Matter Studios,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2001
88399,id Software,Action,QUAKE Mission Pack 1: Scourge of Armagon,9040.0,Ritual Entertainment,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1997
88400,id Software,Action,Spear of Destiny,9000.0,id Software,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1993
88401,Majesco,Action,BloodRayne,3810.0,Terminal Reality,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2003
88402,id Software,Action,QUAKE Mission Pack 2: Dissolution of Eternity,9030.0,Rogue Entertainment,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2007
88403,id Software,Action,QUAKE,2310.0,id Software,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2007
88404,THQ Nordic,Strategy,Genesis Rising,3230.0,Metamorf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2007
88405,SEGA,Strategy,"Warhammer® 40,000: Dawn of War® – Winter Assault",9310.0,Relic Entertainment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2006
88406,2K Games,"Action, RPG",BioShock™,7670.0,"2K Boston,2K Australia",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2007
88407,SEGA,Strategy,"Warhammer® 40,000: Dawn of War® - Game of the Year Edition",4570.0,Relic Entertainment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2006
88408,SEGA,Strategy,"Warhammer® 40,000: Dawn of War® - Dark Crusade",4580.0,Relic Entertainment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2006
88409,SEGA,Strategy,Rome: Total War™ - Collection,4760.0,The Creative Assembly,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2004
88410,SEGA,Strategy,Rome: Total War™ - Alexander,4770.0,The Creative Assembly,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2006
88411,Big Fish Games,Casual,Mystery Case Files: Madame Fate®,50970.0,Big Fish Games,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2007
88414,Rockstar Games,Action,Manhunt,12130.0,Rockstar North,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2004
88415,Rockstar Games,Racing,Midnight Club 2,12160.0,Rockstar San Diego,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2003
88416,Rockstar Games,Action,Max Payne 2: The Fall of Max Payne,12150.0,Remedy Entertainment,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2003
88417,Square Enix,"Action, Adventure",Tomb Raider: Legend,7000.0,Crystal Dynamics,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2006
88418,Rockstar Games,Action,Max Payne,12140.0,Remedy Entertainment,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2001
88419,Electronic Arts,Strategy,Command &amp; Conquer: Red Alert 3,17480.0,EA Los Angeles,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2008
88420,"D3Publisher of America, Inc.",Casual,PuzzleQuest: Challenge of the Warlords,12500.0,Infinite Interactive,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2007
88421,Strategy First,"RPG, Casual, Adventure",Culpa Innata,12310.0,Momentum Digital Media Technologies,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2007
88422,"ValuSoft, Retroism",Strategy,Prison Tycoon 3™: Lockdown,12510.0,"Gamebryo,Virtual Playground",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2007
88423,"ValuSoft, Retroism","Action, Adventure, Strategy",Hunting Unlimited™ 2008,12530.0,SCS Software,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2007
88424,"ValuSoft, Retroism",Racing,18 Wheels of Steel: American Long Haul,12520.0,SCS Software,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2007
88425,Square Enix,Action,Conflict: Denied Ops,8100.0,Pivotal Games,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2008
88426,Bohemia Interactive,Action,ARMA: Combat Operations,2780.0,Bohemia Interactive,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2007
88428,THQ Nordic,Action,Desperados 2: Cooper's Revenge,9710.0,Spellbound,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2006
88429,1C Company,"Action, Adventure",Death to Spies,9800.0,Haggard Games,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2007
88430,Atari,Action,Act of War: High Treason,9760.0,Eugen Systems,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2006
88431,"Atari, Aspyr (Mac)","Simulation, Strategy",RollerCoaster Tycoon® 3: Platinum,2700.0,"Frontier,Aspyr (Mac)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2006
88432,Atari,Action,Act of War: Direct Action,2710.0,Eugen Systems,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2005
88433,"Epic Games, Inc.",Action,Unreal 2: The Awakening,13200.0,"Epic Games, Inc.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2003
88434,"Epic Games, Inc.",Action,Unreal Gold,13250.0,"Epic Games, Inc.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1998
88435,Nunchuck Games,"Casual, Indie",Ninja Reflex: Steamworks Edition,13000.0,Sanzaru Games,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2008
88436,Ubisoft,Action,Tom Clancy's Splinter Cell®,13560.0,Ubisoft,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2003
88437,Ubisoft,Action,Far Cry®,13520.0,Crytek Studios,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2004
88438,"Epic Games, Inc.",Action,Unreal Tournament: Game of the Year Edition,13240.0,"Epic Games, Inc.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000
88439,Ubisoft,Action,Tom Clancy's Rainbow Six® Vegas,13540.0,Ubisoft Montreal,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2006
88440,Ubisoft,Simulation,Silent Hunter® III,15210.0,Ubisoft,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2005
88441,Last Day of Work,"Casual, Simulation",Virtual Villagers - The Secret City,16180.0,Last Day of Work,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2008
88442,"PopCap Games, Inc.",Casual,Mystery P.I.™ - The Vegas Heist,3520.0,SpinTop Games,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2008
88443,MumboJumbo,Casual,Luxor,15970.0,MumboJumbo,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2008
88444,MumboJumbo,Casual,Reaxxion,15950.0,MumboJumbo,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2008
88445,MumboJumbo,Casual,Little Farm,15960.0,MumboJumbo,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2008
88446,MumboJumbo,Casual,7 Wonders II,15900.0,MumboJumbo,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2008
88447,MumboJumbo,Casual,Luxor Amun Rising,15910.0,MumboJumbo,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2005
88448,MumboJumbo,Casual,Luxor 3,15930.0,MumboJumbo,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2007
88449,Ubisoft,Simulation,Petz® Horsez® 2,15160.0,Ubisoft,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2007
88450,MumboJumbo,Casual,Luxor 2,15920.0,MumboJumbo,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2005
88451,Ubisoft,"Action, Adventure",Rayman Raving Rabbids™,15080.0,"Ubisoft Bulgaria,Ubisoft Montpellier",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2007
88452,Ubisoft,Simulation,Silent Hunter®: Wolves of the Pacific,15200.0,Ubisoft Romania,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2007
88453,1C Online Games,Simulation,IL-2 Sturmovik: 1946,15320.0,1C: Maddox Games,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2006
88454,Ubisoft,Simulation,Silent Hunter®: Wolves of the Pacific U-Boat Missions,15240.0,Ubisoft Romania,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2008
88455,Telltale Games,Adventure,Bone: Out From Boneville,8310.0,Telltale Games,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2005
88456,"ValuSoft, Retroism",Racing,Midnight Outlaw: 6 Hours to SunUp,12600.0,"Merscom,Babylon",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2005
88457,Telltale Games,Adventure,Bone: The Great Cow Race,8320.0,Telltale Games,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2006
88458,"ValuSoft, Retroism",Racing,Sprint Cars Road to Knoxville,12590.0,BigAnt Studios,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2008
88460,"ValuSoft, Retroism",Simulation,Ride! Carnival Tycoon,12560.0,Gabriel Entertainment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2007
88462,"ValuSoft, Retroism",Casual,Mahjongg Investigations: Under Suspicion,12540.0,Zemnott,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2007
88463,Frogwares,Adventure,Dracula Origin,11050.0,Frogwares,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2008
88465,Frogwares,"Adventure, RPG",Sherlock Holmes - Nemesis,11040.0,Frogwares,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2008
88466,Silver Sphere Studios,"Adventure, Indie",Eternity's Child,19500.0,"Luc Bernard,SilverSphereStudios",0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2008
88467,Buka Entertainment,"Simulation, Strategy",Pacific Storm Allies,11260.0,Lesta Studio,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2007
88468,Meridian4,"Action, Indie",Tank Universal,19200.0,Dialogue Design,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2008
88469,Strategy First,Racing,FlatOut: Ultimate Carnage,12360.0,Bugbear Entertainment,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2008
88470,Oddworld Inhabitants,Adventure,Oddworld: Abe's Exoddus®,15710.0,Oddworld Inhabitants,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1998
88471,Oddworld Inhabitants,Adventure,Oddworld: Abe's Oddysee®,15700.0,Oddworld Inhabitants,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1997
88472,SimBin,Racing,GTR Evolution Expansion Pack for RACE 07,8660.0,SimBin,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2008
88473,2K Games,Strategy,X-COM: Enforcer,7770.0,"MicroProse Software, Inc",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2001
88474,2K Games,Strategy,X-COM: Apocalypse,7660.0,"MicroProse Software, Inc",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1997
88475,2K Games,Strategy,X-COM: UFO Defense,7760.0,"MicroProse Software, Inc",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1993
88476,GSC World Publishing,"Action, RPG",S.T.A.L.K.E.R.: Clear Sky,20510.0,GSC Game World,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2008
88477,Electronic Arts,Action,Crysis Warhead®,17330.0,Crytek,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2008
88478,Electronic Arts,Action,Crysis,17300.0,Crytek,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2007
88479,2K Games,Strategy,X-COM: Interceptor,7730.0,"MicroProse Software, Inc",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1998
88480,"CD PROJEKT RED, 1C-SoftClub","Action, RPG",The Witcher: Enhanced Edition Director's Cut,20900.0,CD PROJEKT RED,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2008
88481,Introversion Software,Indie,Multiwinia,1530.0,Introversion Software,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2008
88482,SimBin,Racing,STCC - The Game 1 - Expansion Pack for RACE 07,8690.0,SimBin,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2008
88483,"Tilted Mill Entertainment, Inc.","Strategy, Simulation",Children of the Nile: Alexandria,17120.0,"Tilted Mill Entertainment, Inc.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2008
88484,2K Games,Strategy,Sid Meier's Civilization IV: Colonization,16810.0,Firaxis Games,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2008
88485,Ubisoft,Action,Tom Clancy's Rainbow Six® 3 Gold,19830.0,"Red Storm Entertainment,Ubisoft Montreal",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2003
88486,Warner Bros. Interactive Entertainment,"Action, Adventure",LEGO Batman,21000.0,Traveller's Tales,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2008
88487,Focus Home Interactive,"Simulation, Strategy",City Life 2008,4460.0,Monte Cristo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2008
88488,"Tilted Mill Entertainment, Inc.","RPG, Strategy",Hinterland,17140.0,"Tilted Mill Entertainment, Inc.",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,2008
88489,Ubisoft,Action,Brothers in Arms: Hell's Highway™,15390.0,Gearbox Software,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2008
88490,Dark Castle Software,"Indie, Casual",Gravitron 2,21300.0,Dark Castle Software,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2008
88491,Techland,Racing,Xpand Rally Xtreme,3050.0,Techland,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2006
88492,Ubisoft,Strategy,Heroes of Might &amp; Magic V: Hammers of Fate,15380.0,Nival,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2006
